,loanSqeNumber,reportingTime,target,bin,state,probs,lrPD
497007,F19Q40248981,202406,0.0,"(0.102, 0.335]",CA,0.29831683950123256,0.0682040830186075
501932,F19Q40313630,202406,1.0,"(0.885, 0.96]",TX,0.9003669802307662,0.0
509786,F19Q40406998,202406,0.0,"(0.102, 0.335]",FL,0.31037239287062635,0.0682040830186075
521997,F20Q10020208,202406,0.0,"(0.102, 0.335]",TX,0.13633452046294278,0.0682040830186075
526045,F20Q10068275,202406,1.0,"(0.666, 0.885]",IL,0.856055503808283,0.0
535721,F20Q10193912,202406,0.0,"(0.000616, 0.102]",FL,0.012443025238563528,0.0021245706107615213
536771,F20Q10204058,202406,0.0,"(0.000616, 0.102]",TX,0.021452081454947803,0.0021245706107615213
543938,F20Q10279952,202406,1.0,"(0.335, 0.666]",TX,0.6615187725264791,0.3249699950175767
546044,F20Q10299596,202406,0.0,"(0.000616, 0.102]",CA,0.07672322877832778,0.0021245706107615213
546824,F20Q10307566,202406,1.0,"(0.666, 0.885]",FL,0.7991905490984693,0.0
552862,F20Q10365677,202406,1.0,"(0.666, 0.885]",TX,0.7302947334150109,0.0
555201,F20Q10395308,202406,0.0,"(0.000616, 0.102]",CA,0.021091229600116165,0.0021245706107615213
576687,F20Q20092490,202406,0.0,"(0.000616, 0.102]",FL,0.05019797979686793,0.0021245706107615213
586205,F20Q20196592,202406,0.0,"(0.000616, 0.102]",CA,0.02976538518690705,0.0021245706107615213
590275,F20Q20236001,202406,0.0,"(0.000616, 0.102]",CA,0.013831252541131807,0.0021245706107615213
592597,F20Q20258338,202406,1.0,"(0.335, 0.666]",CA,0.6372483670084294,0.3249699950175767
595496,F20Q20288578,202406,1.0,"(0.666, 0.885]",IL,0.8270365888965543,0.0
608731,F20Q20421314,202406,0.0,"(0.000616, 0.102]",TX,0.021440015088175397,0.0021245706107615213
618176,F20Q20512537,202406,0.0,"(0.000616, 0.102]",TX,0.02201134840880293,0.0021245706107615213
620204,F20Q20533468,202406,0.0,"(0.000616, 0.102]",IL,0.08254858344772069,0.0021245706107615213
626619,F20Q20584332,202406,1.0,"(0.666, 0.885]",FL,0.8153634299455217,0.0
632101,F20Q20620943,202406,1.0,"(0.885, 0.96]",IL,0.9517145800850172,0.0
668175,F20Q20925654,202406,0.0,"(0.000616, 0.102]",CA,0.031135085070386634,0.0021245706107615213
681631,F20Q30115655,202406,0.0,"(0.000616, 0.102]",IL,0.023856229057613376,0.0021245706107615213
702585,F20Q30278754,202406,0.0,"(0.000616, 0.102]",CA,0.008330498659583511,0.0021245706107615213
708535,F20Q30318086,202406,0.0,"(0.000616, 0.102]",FL,0.03638066532217877,0.0021245706107615213
738557,F20Q30520990,202406,0.0,"(0.000616, 0.102]",CA,0.05112475748513681,0.0021245706107615213
762900,F20Q30677903,202406,0.0,"(0.000616, 0.102]",CA,0.03289526881440724,0.0021245706107615213
765598,F20Q30695442,202406,0.0,"(0.102, 0.335]",FL,0.16014020458719708,0.0682040830186075
772117,F20Q30735954,202406,0.0,"(0.000616, 0.102]",CA,0.04336659269560104,0.0021245706107615213
775880,F20Q30764819,202406,1.0,"(0.335, 0.666]",IL,0.4384867610361529,0.3249699950175767
776508,F20Q30768320,202406,0.0,"(0.000616, 0.102]",FL,0.011094298946763847,0.0021245706107615213
786289,F20Q30829580,202406,0.0,"(0.000616, 0.102]",FL,0.03613268898594466,0.0021245706107615213
806924,F20Q30971515,202406,0.0,"(0.000616, 0.102]",CA,0.014748498906707517,0.0021245706107615213
807926,F20Q30979512,202406,0.0,"(0.000616, 0.102]",TX,0.0048884905214249,0.0021245706107615213
812741,F20Q31016218,202406,0.0,"(0.102, 0.335]",IL,0.1446935448617386,0.0682040830186075
817204,F20Q31039371,202406,1.0,"(0.335, 0.666]",FL,0.6515655549006643,0.3249699950175767
